f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lb
0.0050252531655132,0.5707106590270996,0.5590062141418457,0.9180327653884888,0.1016949117183685,0.0933985784649849,0.1176550388336181,0.1217051222920417,2.0,2.0,1.0
0.8762883543968201,0.170747697353363,0.7692307829856873,0.625,0.6296296119689941,0.6497602462768555,0.1495097875595092,0.1327109336853027,2.0,1.9231499433517456,1.0
0.2969307601451874,0.9569057822227478,0.259740263223648,0.4583333432674408,0.1884057968854904,0.6038901805877686,0.2091052681207656,0.1446234583854675,1.3432434797286987,2.0,1.0
0.0588235296308994,0.2647058963775635,0.7633587718009949,0.420560747385025,0.4842105209827423,0.7808765172958374,0.1602261960506439,0.1806588768959045,1.9492093324661253,2.0,1.0
0.1325982809066772,0.1608599424362182,0.7182320356369019,0.695652186870575,0.7130434513092041,0.5829046368598938,0.1550552695989608,0.1550552695989608,2.0,1.32934308052063,1.0
0.0798516795039177,0.228936567902565,0.6870229244232178,0.6239316463470459,0.6489361524581909,0.5972030162811279,0.3177582621574402,0.3962592184543609,1.3416388034820557,0.748282790184021,1.0
0.0839748531579971,0.777350127696991,0.8396946787834167,0.5470085740089417,0.4957264959812164,0.8086052536964417,0.1242222636938095,0.1242222636938095,2.0,2.0,1.0
0.6856953501701355,0.0357616543769836,0.2904564440250397,0.523809552192688,0.9615384340286256,0.3926827311515808,0.5203057527542114,0.4190789759159088,1.633074402809143,0.4477848410606384,1.0
0.1194574609398841,0.8243260383605957,0.4988123476505279,0.5138888955116272,0.0866141766309738,0.0496592186391353,2.0,1.8338524103164675,0.0959452167153358,0.3160155713558197,0.0
0.9967663288116456,0.55677330493927,0.5649717450141907,0.5045045018196106,0.2121212184429168,0.2727203071117401,0.6399242281913757,0.7182024717330933,0.4434885084629059,0.8711544275283813,0.0
0.9899020195007324,0.4000200033187866,0.3036876320838928,0.1666666716337204,0.1875,0.3292982578277588,0.9418078660964966,0.5258675217628479,0.2344392836093902,1.1079106330871582,0.0
0.9116063714027404,0.2161335200071334,0.3463203608989715,0.5882353186607361,0.0652173906564712,0.0931296497583389,2.0,0.386694073677063,0.1637569069862365,1.2154544591903689,0.0
0.9197850823402404,0.2283743619918823,0.4318936765193939,0.5581395626068115,0.2105263173580169,0.2039230316877365,0.9619219303131104,0.3580628931522369,0.4531841576099396,1.280941367149353,0.0
0.9627735018730164,0.68931645154953,0.564784049987793,0.5614035129547119,0.0109890112653374,0.1581731289625167,0.8474056720733643,0.5276299118995667,0.3257023990154266,1.149483323097229,0.0
0.9981989860534668,0.5423999428749084,0.4558404684066772,0.446153849363327,0.8999999761581421,0.2093428671360016,0.7358799576759338,0.7981371283531189,0.8120145201683044,0.3843078911304474,0.0
0.976014256477356,0.3469954133033752,0.1624129861593246,0.0851063802838325,0.1081081107258796,0.4672881662845611,0.6318127512931824,0.804675281047821,0.0900822505354881,1.240398645401001,0.0
0.9366819262504578,0.2564658522605896,0.4059040546417236,0.0746268630027771,0.1621621549129486,0.2376716881990432,0.9007549285888672,0.8144993782043457,0.1240175366401672,1.014561653137207,0.0
0.8800606727600098,0.1751094311475753,0.6870229244232178,0.2692307829856872,0.7368420958518982,0.0399121642112731,1.0579237937927246,2.0,0.1610299199819564,0.346994400024414,0.0
0.9998174905776978,0.5135085582733154,0.9160305261611938,0.4050633013248443,0.2727272808551788,0.2573099434375763,0.9478492140769958,2.0,0.2218444496393203,0.3170043528079986,0.0
0.9873661398887634,0.3883119225502014,0.3215433955192566,0.4767441749572754,0.930232584476471,0.2403763532638549,0.5786637663841248,0.5786637663841248,1.214898943901062,0.4597841203212738,0.0
0.995613932609558,0.5660818815231323,0.7602339386940002,0.2413793057203292,0.4930555522441864,0.2501712143421173,1.6155956983566284,0.3172483444213867,0.8091462850570679,0.9223009347915648,0.0
0.7838664650917053,0.0883936062455177,0.4467353820800781,0.4823529422283172,0.8863636255264282,0.3706384003162384,0.4188802540302276,0.4044527113437652,1.584922432899475,0.6500869393348694,1.0
0.909095823764801,0.2125272452831268,0.9961685538291932,0.3488371968269348,0.9509803652763368,0.215112879872322,0.5313945412635803,0.4472965002059936,1.3805540800094604,0.6155105233192444,0.0
0.9832807779312134,0.3717826604843139,0.2992518842220306,0.2738095223903656,0.9777777791023254,0.1246374174952507,0.6100501418113708,0.5689693093299866,1.0739939212799072,0.5813361406326294,0.0
0.7306763529777527,0.0563916005194187,0.553505539894104,0.447761207818985,0.907894730567932,0.3524242639541626,0.4262935817241668,0.3752064704895019,1.6998190879821775,0.6551185250282288,1.0
0.9701881408691406,0.3299319446086883,0.3566333949565887,0.3522727191448211,0.9185185432434082,0.1951392441987991,0.5738231539726257,0.3727069199085235,1.5290826559066772,0.6006603837013245,0.0
0.7409593462944031,0.0618920437991619,0.4883227050304413,0.5517241358757019,0.9693877696990968,0.3935316801071167,0.5302072763442993,0.4701426327228546,1.4301695823669434,0.4155868887901306,1.0
0.9723783135414124,0.6638863682746887,0.538922131061554,0.5416666865348816,0.9795918464660645,0.2622445225715637,0.435476154088974,0.5341421961784363,1.5454707145690918,0.5104476809501648,0.0
0.9982141256332396,0.5422215461730957,0.2356267720460891,0.5,0.9213483333587646,0.2369771003723144,0.6499614119529724,0.6720940470695496,1.011025071144104,0.3929129540920257,0.0
0.9728432893753052,0.6625398993492126,0.3201506733894348,0.4347825944423675,0.9722222089767456,0.1755487769842147,0.7428726553916931,0.951838195323944,0.7858039140701294,0.369136095046997,0.0
0.6728526949882507,0.0308284424245357,0.4988123476505279,0.4285714328289032,0.9591836929321288,0.3047285377979278,0.7349712252616882,0.4170639812946319,1.4206441640853882,0.3829361796379089,1.0
0.800000011920929,0.8999999761581421,0.7453415989875793,0.7457627058029175,0.1000000014901161,0.0398022085428237,1.1187607049942017,2.0,0.337922602891922,0.1728595048189163,0.0
0.8670496940612793,0.8395209908485413,0.7801418304443359,0.8333333134651184,0.2000000029802322,0.0495990738272666,1.0261493921279907,2.0,0.4134676456451416,0.1651657372713089,0.0
0.2763932049274444,0.9472135901451112,0.8896797299385071,0.7662337422370911,0.0458715595304966,0.1683327108621597,0.2056829929351806,0.1447962671518325,1.9742107391357424,2.0,1.0
0.6245205402374268,0.9842464923858644,0.8045976758003235,0.439393937587738,0.2222222238779068,0.0879191383719444,0.5551247596740723,2.0,0.4004231095314026,0.5170279145240784,1.0
0.8841106295585632,0.1799077987670898,0.7883817553520203,0.5188679099082947,0.4566929042339325,0.7570796608924866,0.0743125528097152,0.0619369521737098,2.0,2.0,1.0
0.7030692100524902,0.9569057822227478,0.758293867111206,0.8405796885490417,0.0581395365297794,0.1174505650997161,0.1446234583854675,0.1157327592372894,2.0,2.0,1.0
0.0,0.0,0.6374502182006836,0.7254902124404907,0.0657894760370254,0.2113695591688156,0.0199600793421268,0.0133155789226293,2.0,2.0,1.0
0.9510670900344848,0.7157277464866638,0.8970099687576294,0.70652174949646,0.0326086953282356,0.2170359641313552,0.2798583805561065,0.2798583805561065,1.290558934211731,1.852147936820984,1.0
0.9985272288322448,0.4616517424583435,0.6642066240310669,0.8518518805503845,0.7037037014961243,0.3563191592693329,0.9991114735603333,0.194457933306694,2.0,0.7588392496109009,0.0
0.9116063714027404,0.2161335200071334,0.7161125540733337,0.483146071434021,0.7142857313156128,0.4210994243621826,0.3998618721961975,0.2023425102233886,2.0,1.2538305521011353,0.0
0.9982728958129884,0.458477258682251,0.7299270033836365,0.4166666567325592,0.6117647290229797,0.3571334183216095,0.5796194672584534,0.2848396003246307,1.381887674331665,1.09538733959198,0.0
0.8668803572654724,0.8397040367126465,0.9195402264595032,0.828125,0.3456790149211883,0.3609900772571563,0.5831496119499207,0.2284093052148819,1.4942506551742554,1.4479544162750244,1.0
0.634814977645874,0.9814820289611816,0.6185566782951355,0.8811880946159363,0.3191489279270172,0.2894895374774933,0.259355753660202,0.1853069961071014,2.0,1.9021726846694944,1.0
0.5427005887031555,0.0018266754923388,0.3426791131496429,0.4935064911842346,0.9230769276618958,0.5096022486686707,0.4616075754165649,0.3407210111618042,1.846248745918274,0.5599199533462524,1.0
